dfs_time;bfs_time;algorithm;num_vertices;num_edges;total_ram;cpu_model
0.001743;0.00025;IsBipartite;730;1792;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003678;0.000631;IsBipartite;649;1427;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.036079;0.038165;NumCC;763;1894;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001934;0.00029;IsBipartite;744;1857;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.007575;0.000509;IsBipartite;896;2684;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.03291;0.037138;NumCC;747;1830;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000531;0.000121;IsBipartite;552;1026;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.009498;0.010389;NumCC;569;1038;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002275;0.00027;IsBipartite;793;2128;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.027958;0.03271;NumCC;678;1526;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000912;0.00019;IsBipartite;607;1231;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000812;0.000361;IsBipartite;523;911;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003627;0.00013;IsBipartite;930;2920;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003898;0.00015;IsBipartite;963;3195;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.00307;0.000845;IsBipartite;573;1081;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002454;0.00033;IsBipartite;807;2212;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001914;0.00024;IsBipartite;767;2004;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002223;0.00076;IsBipartite;546;960;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.003126;0.000371;IsBipartite;847;2428;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000801;0.000181;IsBipartite;609;1211;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.020318;0.02128;NumCC;979;3164;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001864;0.00017;IsBipartite;754;1903;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.030955;0.036445;NumCC;735;1814;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.020515;0.033063;NumCC;509;857;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.009644;0.00055;IsBipartite;977;3218;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.037375;0.044602;NumCC;844;2390;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.0266;0.031213;NumCC;645;1427;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.00446;0.000511;IsBipartite;747;1891;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.016191;0.016731;NumCC;816;2209;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.033231;0.039265;NumCC;769;1985;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.011131;0.000875;IsBipartite;1000;3404;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.017783;0.018144;NumCC;861;2494;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.005721;0.000698;IsBipartite;763;1967;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.010269;0.01067;NumCC;568;1154;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.045798;0.053911;NumCC;970;3115;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.018324;0.020609;NumCC;900;2727;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003377;0.00037;IsBipartite;900;2690;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.017853;0.017683;NumCC;864;2428;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.017713;0.018665;NumCC;885;2511;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.00129;0.000435;IsBipartite;535;963;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.008701;0.000497;IsBipartite;951;3065;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002755;0.00031;IsBipartite;870;2445;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.03438;0.039528;NumCC;783;2029;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002856;0.00019;IsBipartite;894;2573;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.027244;0.031814;NumCC;665;1489;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002484;0.000151;IsBipartite;859;2438;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000421;0.00016;IsBipartite;508;835;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001062;0.000271;IsBipartite;607;1266;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.010539;0.011382;NumCC;598;1231;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.014928;0.015539;NumCC;763;1955;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002635;0.000401;IsBipartite;798;2122;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002221;0.00088;IsBipartite;551;939;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.019867;0.02128;NumCC;957;3024;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.018485;0.019837;NumCC;924;2878;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002695;0.000261;IsBipartite;845;2378;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003366;0.000391;IsBipartite;928;2786;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.005426;0.000751;IsBipartite;781;1998;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.006325;0.001163;IsBipartite;783;2038;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.019326;0.019807;NumCC;935;2926;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.013826;0.014638;NumCC;720;1748;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.015119;0.015729;NumCC;768;1949;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003887;0.000261;IsBipartite;992;3293;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002305;0.00022;IsBipartite;811;2214;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.023723;0.026793;NumCC;581;1184;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.045775;0.054003;NumCC;975;3165;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.005789;0.000832;IsBipartite;783;2034;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000441;0.00011;IsBipartite;591;1147;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.017252;0.017803;NumCC;853;2403;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.008944;0.000722;IsBipartite;944;2985;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000441;0.00015;IsBipartite;526;895;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.019368;0.022157;NumCC;518;903;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.020496;0.022993;NumCC;511;937;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.005229;0.000949;IsBipartite;739;1831;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.040818;0.046747;NumCC;864;2542;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001693;0.0003;IsBipartite;683;1567;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.043147;0.052383;NumCC;949;3000;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000902;0.00025;IsBipartite;589;1149;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001653;0.00021;IsBipartite;733;1787;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.010998;0.001801;IsBipartite;821;2277;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.003767;0.00032;IsBipartite;955;3033;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.017783;0.018004;NumCC;868;2509;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.050063;0.066722;NumCC;999;3440;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.043476;0.048306;NumCC;850;2435;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.008821;0.001026;IsBipartite;823;2282;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.005054;0.001214;IsBipartite;685;1591;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.045108;0.053969;NumCC;968;3116;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.020298;0.021811;NumCC;978;3151;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000862;0.00028;IsBipartite;560;1033;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.015319;0.014988;NumCC;773;1948;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.006134;0.000773;IsBipartite;789;2105;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.046091;0.055777;NumCC;981;3264;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.007902;0.001094;IsBipartite;901;2635;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.020188;0.020489;NumCC;939;3009;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.032504;0.038034;NumCC;749;1926;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.005209;0.000644;IsBipartite;779;1992;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.003397;0.00029;IsBipartite;928;2820;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003486;0.000161;IsBipartite;954;3039;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000591;0.000191;IsBipartite;518;902;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002755;0.00037;IsBipartite;828;2355;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.019003;0.02209;NumCC;510;842;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000801;0.000251;IsBipartite;551;1050;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.014788;0.015218;NumCC;746;1918;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001773;0.00013;IsBipartite;742;1892;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000411;0.00019;IsBipartite;514;850;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.018034;0.019316;NumCC;888;2668;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.026419;0.02599;NumCC;521;887;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.008997;0.009798;NumCC;534;960;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.031299;0.037108;NumCC;743;1797;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.008943;0.001077;IsBipartite;900;2729;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.003269;0.000887;IsBipartite;574;1080;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.009979;0.01084;NumCC;586;1101;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.015279;0.016311;NumCC;792;2148;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.01075;0.011542;NumCC;612;1255;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.008331;0.000681;IsBipartite;925;2819;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.013225;0.013996;NumCC;703;1716;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002254;0.000181;IsBipartite;785;2151;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.016531;0.017533;NumCC;835;2252;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.010006;0.001021;IsBipartite;967;3114;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002144;0.00035;IsBipartite;745;1898;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.008497;0.000789;IsBipartite;939;2917;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.045581;0.054458;NumCC;986;3213;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000832;0.00011;IsBipartite;655;1447;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.03252;0.03687;NumCC;729;1824;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001052;0.000241;IsBipartite;627;1309;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003587;0.00022;IsBipartite;963;3068;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.031756;0.035514;NumCC;712;1698;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001172;0.000251;IsBipartite;540;961;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.015299;0.015579;NumCC;776;2018;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.016391;0.016951;NumCC;840;2332;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001474;0.000501;IsBipartite;543;944;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.028903;0.03436;NumCC;694;1659;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001152;0.000411;IsBipartite;566;1070;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.034994;0.0398;NumCC;780;1940;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.028091;0.032652;NumCC;661;1529;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002021;0.000693;IsBipartite;556;1046;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.017653;0.018064;NumCC;869;2429;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001543;0.000331;IsBipartite;707;1648;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.045054;0.053283;NumCC;947;3047;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.001432;0.000311;IsBipartite;649;1382;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000821;0.000371;IsBipartite;512;891;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.004761;0.000819;IsBipartite;678;1539;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.00243;0.000787;IsBipartite;563;1043;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.038368;0.04561;NumCC;854;2387;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.012834;0.013615;NumCC;685;1549;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.014907;0.015068;NumCC;765;1894;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.0035;0.000832;IsBipartite;656;1428;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.009284;0.000815;IsBipartite;957;3084;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.01023;0.0108;NumCC;577;1142;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.011019;0.00105;IsBipartite;984;3190;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.006794;0.000744;IsBipartite;869;2495;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.035863;0.042448;NumCC;817;2216;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.008706;0.009358;NumCC;511;898;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.010791;0.011211;NumCC;605;1234;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002519;0.000369;IsBipartite;624;1292;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002114;0.000271;IsBipartite;800;2062;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.008947;0.009738;NumCC;523;975;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000661;0.00014;IsBipartite;632;1322;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001494;0.000343;IsBipartite;587;1089;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.002595;0.00022;IsBipartite;843;2287;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.026008;0.028277;NumCC;599;1216;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.030899;0.035565;NumCC;719;1709;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.009168;0.009688;NumCC;546;956;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.009127;0.009899;NumCC;532;971;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.008716;0.009017;NumCC;518;843;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.010512;0.001178;IsBipartite;983;3180;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000531;0.00017;IsBipartite;507;945;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003306;0.000401;IsBipartite;839;2445;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000842;0.00037;IsBipartite;534;933;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.005513;0.000804;IsBipartite;759;1875;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.02838;0.03101;NumCC;649;1397;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.009648;0.010159;NumCC;562;1068;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.000341;0.00011;IsBipartite;513;880;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.013956;0.014648;NumCC;741;1837;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.027915;0.032185;NumCC;665;1501;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.005608;0.000596;IsBipartite;761;1918;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.00749;0.001213;IsBipartite;852;2431;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000892;0.000421;IsBipartite;522;918;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002415;0.00019;IsBipartite;799;2111;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.017133;0.018154;NumCC;861;2458;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.007134;0.000782;IsBipartite;828;2285;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.011722;0.012223;NumCC;637;1370;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.01593;0.016511;NumCC;809;2162;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.002986;0.0003;IsBipartite;854;2390;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001382;0.000251;IsBipartite;704;1612;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.003153;0.000974;IsBipartite;631;1327;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.014056;0.014447;NumCC;734;1795;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.014437;0.015489;NumCC;749;1873;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.01034;0.01075;NumCC;590;1170;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.037798;0.042961;NumCC;823;2236;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000972;0.000231;IsBipartite;635;1327;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.007303;0.000969;IsBipartite;728;1782;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.030822;0.02652;NumCC;559;1062;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.013426;0.013705;NumCC;712;1658;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.044855;0.05307;NumCC;974;3064;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.020468;0.02109;NumCC;979;3135;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.005696;0.001256;IsBipartite;754;1846;16636850176;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz
0.000481;0.00018;IsBipartite;532;894;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.024075;0.021781;NumCC;992;3360;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
0.001503;0.00025;IsBipartite;699;1684;29308923904;AMD Ryzen 7 5700G with Radeon Graphics
